Product Name,Opportunity Owner,Opportunity Name,Created Date,Close Date,Close Month,Close Quarter,Close Year,Age,Stage,Probability,Forecast Category,ARR,TCV,Last Activity,Next Step
Product 1,Owner 1,1804,12/15/2019,1/1/2020,Month 1,Q1,1,302,Closed Won,100%,Commit,"$38,847 ",,,NA
Product 2,Owner 1,557,12/20/2017,1/4/2020,Month 1,Q1,1,15,Closed Won,100%,Commit,"$12,500 ",,,signed contract from client
Product 2,Owner 3,254,11/6/2017,1/5/2020,Month 1,Q1,1,60,Closed Lost,0%,Omitted,"$30,000 ",,9/28/2017,Awaiting confirmation from Steffen that Amin's fee works with their budget
Product 1,Owner 1,1262,8/12/2017,1/5/2020,Month 1,Q1,1,146,Closed Lost,0%,Omitted,"$75,000 ",,10/27/2017,SOW changed and SU doesn't provide the services they now seem to need 10/24/2017
Product 2,Owner 4,489,1/5/2019,1/10/2020,Month 1,Q1,1,0,Closed Won,100%,Commit,"$7,500 ",,7/11/2021,Closed Won
Product 1,Owner 2,125,11/30/2017,1/10/2020,Month 1,Q1,1,41,Closed Won,100%,Commit,"$140,000 ",,12/29/2017,done
Product 1,Owner 2,126,11/30/2017,1/10/2020,Month 1,Q1,1,41,Closed Won,100%,Commit,"$140,000 ",,12/29/2017,done
Product 1,Owner 2,127,11/30/2017,1/10/2020,Month 1,Q1,1,41,Closed Won,100%,Commit,"$140,000 ",,12/29/2017,done
Product 1,Owner 1,1713,11/5/2017,1/10/2020,Month 1,Q1,1,66,Closed Lost,0%,Omitted,"$70,000 ",,11/17/2017,Date is confirmed/getting Client's approval on faculty. Follow up call scheduled for week of 1/8/2020
Product 1,Owner 3,1037,10/22/2017,1/11/2020,Month 1,Q1,1,81,Closed Lost,0%,Omitted,"$150,000 ",,,"Informed Felipe if we don't move to contract, we must release venue"
Product 1,Owner 3,916,1/22/2019,1/12/2020,Month 1,Q1,1,10,Closed Lost,0%,Omitted,"$25,000 ",,,Closed Lost
Product 2,Owner 7,51,11/8/2017,1/12/2020,Month 1,Q1,1,65,Closed Lost,0%,Omitted,"$25,000 ",,,Decision from client
Product 1,Owner 2,1839,10/28/2017,1/12/2020,Month 1,Q1,1,76,Closed Lost,0%,Omitted,"$80,000 ",,,Shift emphasis to the digital program.
Product 2,Owner 3,922,10/19/2017,1/12/2020,Month 1,Q1,1,85,Closed Lost,0%,Omitted,"$25,000 ",,,Sales Ops Updates
Product 1,Owner 2,1500,11/21/2017,1/18/2020,Month 1,Q1,1,58,Closed Lost,0%,Omitted,"$60,000 ",,12/7/2017,Call with Holly on 1/8.
Product 1,Owner 2,1937,10/11/2017,1/18/2020,Month 1,Q1,1,99,Closed Lost,0%,Omitted,"$150,000 ",,,"See if they can keep in April, otherwise will have to move to 2019"
Product 1,Owner 2,1143,1/11/2020,1/22/2020,Month 1,Q1,1,11,Closed Lost,0%,Omitted,"$25,000 ",,12/22/2017,Awaiting availability from FacOps (12/22/17)
Product 2,Owner 2,1159,1/11/2020,1/22/2020,Month 1,Q1,1,11,Closed Won,100%,Commit,"$12,000 ",,,send finalized agreement
Product 2,Owner 2,710,1/9/2020,1/25/2020,Month 1,Q1,1,16,Closed Won,100%,Commit,"$15,000 ",,11/7/2021,SU to cross-execute
Product 2,Owner 3,303,1/10/2020,1/26/2020,Month 1,Q1,1,16,Closed Won,100%,Commit,"$15,000 ",,,Confirm Speaker
Product 2,Owner 1,636,12/22/2017,1/26/2020,Month 1,Q1,1,35,Closed Won,100%,Commit,"$15,000 ",,,Client selected Nicole Wilson
Product 2,Owner 3,920,10/19/2017,1/26/2020,Month 1,Q1,1,99,Closed Won,100%,Commit,"$25,000 ",,,cross execute contract
Product 2,Owner 3,921,10/19/2017,1/26/2020,Month 1,Q1,1,99,Closed Won,100%,Commit,"$25,000 ",,,cross execute contract
Product 2,Owner 7,41,10/6/2017,1/26/2020,Month 1,Q1,1,112,Closed Lost,0%,Omitted,"$75,000 ",,,Awaiting answer if they will push to secure Ray K for 2018
Product 1,Owner 1,1510,10/28/2017,1/28/2020,Month 1,Q1,1,92,Closed Won,100%,Commit,"$130,000 ",,1/29/2020,invoice sent to client 1/31
Product 2,Owner 3,911,1/24/2020,1/29/2020,Month 1,Q1,1,5,Closed Won,100%,Commit,"$45,000 ",,,signed agreement from client
Product 2,Owner 1,1600,1/11/2020,1/29/2020,Month 1,Q1,1,18,Closed Won,100%,Commit,"$30,000 ",,2/2/2020,Sales Ops Updates
Product 2,Owner 1,596,1/10/2020,1/30/2020,Month 1,Q1,1,20,Closed Won,100%,Commit,"$12,500 ",,,Contract (awaiting confirmation on Hod from FacOps)
Product 1,Owner 4,407,1/21/2020,1/31/2020,Month 1,Q1,1,10,Closed Lost,0%,Omitted,"$20,000 ",,,"Only Sandra Miller is available, awaiting answer from client"
